path,file_bytes,image_bytes,image_range,sum16,checksum_in_filename,checksum_verified,sha256_file,sha256_image
unsorted-source-material/Microcontroller dumps/Complete/D8041AHC_NEC_VP410_Module_S_Control.hex,2893,1024,0x0000-0x03FF,0xC014,,,e022f046e81507c677ebf033869c15c5c53c437c5ea37f4c20f18c8f1c482baf,b061c815822c0e35282a8182a3d972ff8f67961bdd5522eefbfc938d62c9e512
unsorted-source-material/Microcontroller dumps/Complete/D8041AHC_NEC_VP415_Module_S_Control.hex,2891,1024,0x0000-0x03FF,0xFC62,,,50df9fc682f54b16efc066cdca02d05a12cba6494f6c9885246352ea67bdd6e3,35d258eb1ee0bfab3b33cd1293153fcf9618a027f1e6da9d3e417353da846856
unsorted-source-material/Microcontroller dumps/Complete/D8041AHC_NEC_VP415_Module_W_CPU.hex,2891,1024,0x0000-0x03FF,0xFC62,,,50df9fc682f54b16efc066cdca02d05a12cba6494f6c9885246352ea67bdd6e3,35d258eb1ee0bfab3b33cd1293153fcf9618a027f1e6da9d3e417353da846856
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_S_Control 2.hex,2891,1024,0x0000-0x03FF,0xFC62,,,50df9fc682f54b16efc066cdca02d05a12cba6494f6c9885246352ea67bdd6e3,35d258eb1ee0bfab3b33cd1293153fcf9618a027f1e6da9d3e417353da846856
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_S_Control 3.hex,2891,1024,0x0000-0x03FF,0xFC62,,,50df9fc682f54b16efc066cdca02d05a12cba6494f6c9885246352ea67bdd6e3,35d258eb1ee0bfab3b33cd1293153fcf9618a027f1e6da9d3e417353da846856
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_S_Control.hex,8848,1024,0x0000-0x03FF,0xFC62,,,b09d8a6f10a8de952f2399348498480e50cbb5a5c49009868c9d07836670c5a7,35d258eb1ee0bfab3b33cd1293153fcf9618a027f1e6da9d3e417353da846856
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_W_CPU 2.hex,2891,1024,0x0000-0x03FF,0xFC62,,,50df9fc682f54b16efc066cdca02d05a12cba6494f6c9885246352ea67bdd6e3,35d258eb1ee0bfab3b33cd1293153fcf9618a027f1e6da9d3e417353da846856
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_W_CPU 3.hex,2891,1024,0x0000-0x03FF,0xFC62,,,50df9fc682f54b16efc066cdca02d05a12cba6494f6c9885246352ea67bdd6e3,35d258eb1ee0bfab3b33cd1293153fcf9618a027f1e6da9d3e417353da846856
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_W_CPU.hex,8848,1024,0x0000-0x03FF,0xFC62,,,b8381b1cbe2731e1e854d82616ddeabe0c95966af8dedb48b44a77e31e166e53,35d258eb1ee0bfab3b33cd1293153fcf9618a027f1e6da9d3e417353da846856
unsorted-source-material/VP415 ROM dumps/VP410 S Module - Control A 3104 103 68114.BIN,65536,65536,0x0000-0xFFFF,0xFC6F,,,9dee7647ab7480a4ae5fdfdf382001a2cd04413182835b5e0244c65693de9b40,9dee7647ab7480a4ae5fdfdf382001a2cd04413182835b5e0244c65693de9b40
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/R 3104 103 6803 6 DRIVE V1_7 0x68FF.BIN,16384,16384,0x0000-0x3FFF,0x68FF,0x68FF,match,6ec09eeb8d4751b5c833c859a03d726a0030dc20098c917ca4f12a5b51764819,6ec09eeb8d4751b5c833c859a03d726a0030dc20098c917ca4f12a5b51764819
