source_path,dest_path,origin,disposition,profile,sheet,cs_code,notes
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_052.webp,docs/modules/j-focus/assets/originals/cs-6-876-circuit-p052.webp,sheet-map,publish,schematic,052,CS 6 876,Focus module J - circuit diagram
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_053.webp,docs/modules/j-focus/assets/originals/cs-7-846-module-sheet-p053.webp,sheet-map,publish,schematic,053,CS 7 846,Focus module J (mod level 2) - PCB / parts / circuit
unsorted-source-material/Module photos/Plug in modules/Module J - Focus bottom.jpg,docs/modules/j-focus/assets/originals/j-focus-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module J - Focus top.jpg,docs/modules/j-focus/assets/originals/j-focus-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_001.webp,docs/assets/originals/cs-7-814-cover-p001.webp,sheet-map,publish,text-page,001,CS 7 814,Front cover / contents
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_002.webp,docs/assets/originals/contents-p002.webp,sheet-map,publish,text-page,002,,Chapter tab contents
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_003.webp,docs/overview/assets/originals/divider-p003.webp,sheet-map,publish,text-page,003,,"Chapter 1 divider (Technical data, controls, connector pinning)"
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_004.webp,docs/overview/assets/originals/cs-7-816-text-p004.webp,sheet-map,publish,text-page,004,CS 7 816,Technical data
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_005.webp,docs/overview/assets/originals/cs-7-817-text-figure-p005.webp,sheet-map,publish,schematic,005,CS 7 817,"Controls, indicators and connections"
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_006.webp,docs/overview/assets/originals/cs-7-828-text-p006.webp,sheet-map,publish,text-page,006,CS 7 828,"Connector pinning (A/V Euroconnector, RGB TTL DIN, SCSI)"
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_007.webp,docs/general-service/assets/originals/divider-p007.webp,sheet-map,publish,text-page,007,,Chapter 2 divider (General service information)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_008.webp,docs/general-service/assets/originals/cs-7-818-text-p008.webp,sheet-map,publish,text-page,008,CS 7 818,Remarks
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_009.webp,docs/general-service/assets/originals/cs-7-819-text-p009.webp,sheet-map,publish,text-page,009,CS 7 819,Warnings (laser radiation)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_010.webp,docs/general-service/assets/originals/cs-7-820-text-p010.webp,sheet-map,publish,text-page,010,CS 7 820,Modification levels
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_011.webp,docs/general-service/assets/originals/cs-7-821-text-p011.webp,sheet-map,publish,text-page,011,CS 7 821,Adjustments - general and required
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_012.webp,docs/general-service/assets/originals/cs-7-822-figure-p012.webp,sheet-map,publish,schematic,012,CS 7 822,Video adjustments survey (block diagram)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_013.webp,docs/general-service/assets/originals/cs-7-823-figure-p013.webp,sheet-map,publish,schematic,013,CS 7 823,Demounting instructions
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_014.webp,docs/general-service/assets/originals/cs-7-824-text-p014.webp,sheet-map,publish,text-page,014,CS 7 824,Service hints (ESD)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_015.webp,docs/general-service/assets/originals/cs-7-825-figure-p015.webp,sheet-map,publish,schematic,015,CS 7 825,Service tools
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_016.webp,docs/general-service/assets/originals/cs-7-826-figure-p016.webp,sheet-map,publish,schematic,016,CS 7 826,Application of service tools
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_017.webp,docs/general-service/assets/originals/cs-7-827-figure-p017.webp,sheet-map,publish,schematic,017,CS 7 827,List of used symbols
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_018.webp,docs/system/assets/originals/divider-p018.webp,sheet-map,publish,text-page,018,,Chapter 3 divider (Layout / signals / block diagrams)
