scan,half,printed_page,ocr_page,score,runner_up
operating-instructions-scan-01.jpg,a,1,2,0.98,18@0.40
operating-instructions-scan-01.jpg,b,0,1,0.55,27@0.20
operating-instructions-scan-02.jpg,a,2,3,0.29,3@0.23
operating-instructions-scan-02.jpg,b,3,4,0.90,9@0.29
operating-instructions-scan-03.jpg,a,7,8,0.99,9@0.31
operating-instructions-scan-03.jpg,b,4,5,0.92,9@0.24
operating-instructions-scan-04.jpg,a,6,7,0.99,5@0.30
operating-instructions-scan-04.jpg,b,5,6,1.00,6@0.30
operating-instructions-scan-05.jpg,a,10,11,0.00*,44@0.00
operating-instructions-scan-05.jpg,b,8,9,0.86,4@0.11
operating-instructions-scan-06.jpg,a,11,12,1.00,13@0.32
operating-instructions-scan-06.jpg,b,9,10,0.98,7@0.31
operating-instructions-scan-07.jpg,a,14,15,0.99,13@0.46
operating-instructions-scan-07.jpg,b,12,13,0.18*,18@0.16
operating-instructions-scan-08.jpg,a,15,16,1.00,14@0.45
operating-instructions-scan-08.jpg,b,13,14,0.99,14@0.46
operating-instructions-scan-09.jpg,a,14,15,0.99,13@0.46
operating-instructions-scan-09.jpg,b,12,13,0.25,26@0.15
operating-instructions-scan-10.jpg,a,18,19,0.12*,1@0.07
operating-instructions-scan-10.jpg,b,16,17,0.99,12@0.32
operating-instructions-scan-11.jpg,a,19,20,1.00,21@0.29
operating-instructions-scan-11.jpg,b,,,0.00,44@0.00
operating-instructions-scan-12.jpg,a,18,19,0.14*,1@0.07
operating-instructions-scan-12.jpg,b,16,17,0.99,12@0.32
operating-instructions-scan-13.jpg,a,22,23,0.98,26@0.63
operating-instructions-scan-13.jpg,b,20,21,0.29,23@0.12
operating-instructions-scan-14.jpg,a,23,24,0.96,33@0.34
operating-instructions-scan-14.jpg,b,21,22,0.99,45@0.33
operating-instructions-scan-15.jpg,a,27,28,1.00,35@0.24
operating-instructions-scan-15.jpg,b,,,0.00,44@0.00
operating-instructions-scan-16.jpg,a,26,27,0.15*,12@0.11
operating-instructions-scan-16.jpg,b,24,25,0.92,22@0.40
operating-instructions-scan-17.jpg,a,31,32,0.98,32@0.51
operating-instructions-scan-17.jpg,b,29,30,0.97,28@0.49
operating-instructions-scan-18.jpg,a,30,31,0.96,29@0.37
operating-instructions-scan-18.jpg,b,28,29,0.98,29@0.49
operating-instructions-scan-19.jpg,a,35,36,0.95,31@0.26
operating-instructions-scan-19.jpg,b,33,34,0.98,32@0.63
operating-instructions-scan-20.jpg,a,34,35,0.96,33@0.48
operating-instructions-scan-20.jpg,b,32,33,0.97,33@0.62
operating-instructions-scan-21.jpg,a,39,40,0.99,40@0.47
operating-instructions-scan-21.jpg,b,37,38,1.00,38@0.40
operating-instructions-scan-22.jpg,a,38,39,1.00,39@0.45
operating-instructions-scan-22.jpg,b,36,37,0.31,18@0.18
operating-instructions-scan-23.jpg,a,43,44,0.98,13@0.35
operating-instructions-scan-23.jpg,b,41,42,0.99,38@0.39
operating-instructions-scan-24.jpg,a,42,43,0.67,27@0.25
operating-instructions-scan-24.jpg,b,40,41,1.00,39@0.47
operating-instructions-scan-25.jpg,a,43,44,0.98,13@0.35
operating-instructions-scan-25.jpg,b,41,42,1.00,38@0.39
operating-instructions-scan-26.jpg,a,,,0.00,44@0.00
operating-instructions-scan-26.jpg,b,45,46,0.96,21@0.33
operating-instructions-scan-27.jpg,a,,,0.00,44@0.00
operating-instructions-scan-27.jpg,b,44,45,0.93,5@0.27
