page,fold,sheet,chapter,section,module,content_type,cs_code,title,ocr_path,publish_source
001,A4,001,front,front-matter,,cover,CS 7 814,Front cover / contents,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-1/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_001.webp
002,A4,002,front,front-matter,,contents,,Chapter tab contents,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-2/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_002.webp
003,A4,003,1,divider,,divider,,"Chapter 1 divider (Technical data, controls, connector pinning)",unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-3/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_003.webp
004,A4,004,1,technical-data,,text,CS 7 816,Technical data,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-4/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_004.webp
005,A4,005,1,controls-connections,,text+figure,CS 7 817,"Controls, indicators and connections",unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-5/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_005.webp
006,A4,006,1,connector-pinning,,text,CS 7 828,"Connector pinning (A/V Euroconnector, RGB TTL DIN, SCSI)",unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-6/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_006.webp
007,A4,007,2,divider,,divider,,Chapter 2 divider (General service information),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-7/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_007.webp
008,A4,008,2,remarks,,text,CS 7 818,Remarks,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-8/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_008.webp
009,A4,009,2,warnings,,text,,Warnings (laser radiation),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-9/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_009.webp
010,A4,010,2,modification-levels,,text,,Modification levels,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-10/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_010.webp
011,A4,011,2,adjustments,,text,CS 7 821,Adjustments - general and required,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-11/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_011.webp
012,bifold,012,2,adjustments,,figure,CS 7 822,Video adjustments survey (block diagram),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-12/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_012.webp
013,bifold,013,2,demounting,,figure,CS 7 823,Demounting instructions,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-13/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_013.webp
014,A4,014,2,service-hints,,text,CS 7 824,Service hints (ESD),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-14/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_014.webp
015,A4,015,2,service-tools,,figure,CS 7 825,Service tools,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-15/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_015.webp
016,bifold,016,2,service-tools,,figure,CS 7 826,Application of service tools,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-16/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_016.webp
017,bifold,017,2,symbols,,figure,CS 7 827,List of used symbols,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-17/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_017.webp
018,A4,018,3,divider,,divider,,Chapter 3 divider (Layout / signals / block diagrams),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-18/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_018.webp
019,bifold,019,3,module-layout,,figure,CS 7 829,Module and connector lay-out,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-19/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_019.webp
020,bifold,020,3,signal-listing,,table,CS 7 830,Alphabetical signal listing,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-20/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_020.webp
021,trifold,021_022,3,wiring-diagram,,figure,CS 7 831,Wiring diagram - player (WDP) - left portion,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-21/markdown.md,A4 trifold/vp415-colour300dpi-fixed_Page_021_022.webp
022,trifold,021_022,3,wiring-diagram,,figure,CS 7 831,Wiring diagram - player (WDP) - right portion,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-22/markdown.md,A4 trifold/vp415-colour300dpi-fixed_Page_021_022.webp
