sheet,panel,panels,fold,chapter,section,module,content_type,cs_code,title,scan_pages,ocr_path,publish_source
001,1,1,A4,front,front-matter,,cover,CS 7 814,Front cover / contents,001,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-1/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_001.webp
002,1,1,A4,front,front-matter,,contents,,Chapter tab contents,002,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-2/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_002.webp
003,1,1,A4,1,divider,,divider,,"Chapter 1 divider (Technical data, controls, connector pinning)",003,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-3/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_003.webp
004,1,1,A4,1,technical-data,,text,CS 7 816,Technical data,004,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-4/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_004.webp
005,1,1,A4,1,controls-connections,,text+figure,CS 7 817,"Controls, indicators and connections",005,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-5/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_005.webp
006,1,1,A4,1,connector-pinning,,text,CS 7 828,"Connector pinning (A/V Euroconnector, RGB TTL DIN, SCSI)",006,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-6/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_006.webp
007,1,1,A4,2,divider,,divider,,Chapter 2 divider (General service information),007,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-7/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_007.webp
008,1,1,A4,2,remarks,,text,CS 7 818,Remarks,008,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-8/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_008.webp
009,1,1,A4,2,warnings,,text,,Warnings (laser radiation),009,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-9/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_009.webp
010,1,1,A4,2,modification-levels,,text,,Modification levels,010,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150529Z/Philips-VP415-Service-Manual-hires-300-part1of5-pages001-044.pdf/pages/page-10/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_010.webp
