path,bytes,kind,width,height
unsorted-source-material/Disassembly guide/PNG/Untitled-1.png,224644,image,1024,655
unsorted-source-material/Disassembly guide/PNG/Untitled-2.png,359890,image,1024,939
unsorted-source-material/Disassembly guide/PNG/Untitled-3.png,271245,image,1024,616
unsorted-source-material/Disassembly guide/PNG/Untitled-4.png,114266,image,1024,1003
unsorted-source-material/Disassembly guide/PNG/Untitled-5.png,406950,image,1024,1258
unsorted-source-material/Disassembly guide/PNG/vp415-colour300dpi-fixed_Page_102.png,915227,image,2048,1477
unsorted-source-material/Disassembly guide/PNG/vp415-colour300dpi-fixed_Page_103.png,315703,image,2048,2038
unsorted-source-material/Disassembly guide/PNG/vp415-colour300dpi-fixed_Page_104.png,837231,image,2048,1518
unsorted-source-material/Disassembly guide/PNG/vp415-colour300dpi-fixed_Page_105.png,399973,image,2048,1436
unsorted-source-material/Disassembly guide/PNG/vp415-colour300dpi-fixed_Page_120.png,1175814,image,893,1956
unsorted-source-material/Disassembly guide/Philips-VP415-Back-panel annotated.jpg,141443,image,1024,410
unsorted-source-material/Disassembly guide/VP415 Cabinet exploded diagram.jpg,375723,image,2048,1477
unsorted-source-material/Disassembly guide/VP415 Drive assembly exploded diagram.jpg,384726,image,2048,1436
unsorted-source-material/Disassembly guide/VP415 Front-loader exploded diagram.jpg,315741,image,2048,1518
unsorted-source-material/Disassembly guide/VP415 Push out tray manually.jpg,93034,image,1024,655
unsorted-source-material/Disassembly guide/VP415 Remove IO module U.jpg,114222,image,1024,1003
unsorted-source-material/Disassembly guide/VP415 Remove optical deck.jpg,127595,image,1024,616
unsorted-source-material/Disassembly guide/VP415 Remove sandwich.jpg,112419,image,1024,1258
unsorted-source-material/Disassembly guide/VP415 Sandwich exploded diagram.jpg,275545,image,2048,2038
unsorted-source-material/Disassembly guide/VP415 Upper case and front-loader.jpg,161736,image,1024,939
unsorted-source-material/Microcontroller dumps/Complete/D8041AHC_NEC_VP410_Module_S_Control.hex,2893,firmware,,
unsorted-source-material/Microcontroller dumps/Complete/D8041AHC_NEC_VP415_Module_S_Control.hex,2891,firmware,,
unsorted-source-material/Microcontroller dumps/Complete/D8041AHC_NEC_VP415_Module_W_CPU.hex,2891,firmware,,
unsorted-source-material/Microcontroller dumps/Complete/VP410 Module S 8041 Slave CPU image.zip,1462,archive,,
unsorted-source-material/Microcontroller dumps/Complete/VP415 Module S and W 8041 Slave CPU images.zip,3060,archive,,
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC.pdf,760346,pdf,,
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_S_Control 2.hex,2891,firmware,,
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_S_Control 3.hex,2891,firmware,,
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_S_Control.hex,8848,firmware,,
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_W_CPU 2.hex,2891,firmware,,
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_W_CPU 3.hex,2891,firmware,,
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_W_CPU.hex,8848,firmware,,
unsorted-source-material/Microcontroller dumps/D8741A.pdf,356573,pdf,,
unsorted-source-material/Module Z diagrams/Deck electronics potentiometer layout.png,36727,image,860,1168
unsorted-source-material/Module Z diagrams/Deck electronics potentiometer layout.pptx,35002,office,,
unsorted-source-material/Module Z diagrams/Deck electronics potentiometers.png,5164962,image,1386,1540
unsorted-source-material/Module Z diagrams/Deck electronics potentiometers.pptx,2890124,office,,
unsorted-source-material/Module Z diagrams/Module Z diagrams/Focus Gain.PNG,25922,image,572,832
unsorted-source-material/Module Z diagrams/Module Z diagrams/Focus Radial Ratio.PNG,26738,image,572,832
unsorted-source-material/Module Z diagrams/Module Z diagrams/HF Amplitude.PNG,25825,image,572,832
unsorted-source-material/Module Z diagrams/Module Z diagrams/Radial Balance.PNG,26479,image,572,832
unsorted-source-material/Module Z diagrams/Module Z diagrams/Radial Gain.PNG,26151,image,572,832
unsorted-source-material/Module Z diagrams/Module Z diagrams/Tilt Offset.PNG,25370,image,572,832
unsorted-source-material/Module photos/Module Layout.jpg,952780,image,2362,2250
unsorted-source-material/Module photos/Module Layout.pptx,2450240,office,,
unsorted-source-material/Module photos/Module V diagram.jpg,386636,image,3138,3009
unsorted-source-material/Module photos/Plug in modules/Module A - Audio Proc bottom.jpg,4185153,image,4792,1155
unsorted-source-material/Module photos/Plug in modules/Module A - Audio Proc top.jpg,3642888,image,4705,1138
unsorted-source-material/Module photos/Plug in modules/Module B - RGB bottom.jpg,3909909,image,4853,1148
unsorted-source-material/Module photos/Plug in modules/Module B - RGB top.jpg,3727588,image,4752,1142
unsorted-source-material/Module photos/Plug in modules/Module C - Video Proc bottom.jpg,3560323,image,4348,1131
unsorted-source-material/Module photos/Plug in modules/Module C - Video Proc top.jpg,3330961,image,4238,1112
unsorted-source-material/Module photos/Plug in modules/Module D - Ref Source bottom.jpg,4096344,image,4798,1132
unsorted-source-material/Module photos/Plug in modules/Module D - Ref Source top.jpg,3589678,image,4693,1116
unsorted-source-material/Module photos/Plug in modules/Module E - Slide Drive bottom.jpg,2027469,image,2436,1155
unsorted-source-material/Module photos/Plug in modules/Module E - Slide Drive top.jpg,1969690,image,2420,1131
unsorted-source-material/Module photos/Plug in modules/Module F - Motor bottom.jpg,3529821,image,4791,1148
unsorted-source-material/Module photos/Plug in modules/Module F - Motor top.jpg,3810966,image,4779,1126
unsorted-source-material/Module photos/Plug in modules/Module G - Genlock bottom.jpg,4549553,image,4904,1182
unsorted-source-material/Module photos/Plug in modules/Module G - Genlock top.jpg,3904806,image,4828,1168
unsorted-source-material/Module photos/Plug in modules/Module H - ETBC B bottom.jpg,4230415,image,4775,1137
unsorted-source-material/Module photos/Plug in modules/Module H - ETBC B top.jpg,4009301,image,4698,1140
unsorted-source-material/Module photos/Plug in modules/Module I - ETBC C bottom.jpg,3966155,image,4739,1140
unsorted-source-material/Module photos/Plug in modules/Module I - ETBC C top.jpg,3610700,image,4662,1116
unsorted-source-material/Module photos/Plug in modules/Module J - Focus bottom.jpg,2121105,image,2434,1124
unsorted-source-material/Module photos/Plug in modules/Module J - Focus top.jpg,1923715,image,2382,1119
unsorted-source-material/Module photos/Plug in modules/Module K - HF Proc bottom.jpg,3573725,image,4766,1118
unsorted-source-material/Module photos/Plug in modules/Module K - HF Proc top.jpg,3958681,image,4694,1124
unsorted-source-material/Module photos/Plug in modules/Module L - Video DO Corr bottom.jpg,3729203,image,4755,1160
unsorted-source-material/Module photos/Plug in modules/Module L - Video DO Corr top.jpg,3310947,image,4690,1121
unsorted-source-material/Module photos/Plug in modules/Module M - Radial bottom.jpg,4179733,image,4740,1127
unsorted-source-material/Module photos/Plug in modules/Module M - Radial top.jpg,3777147,image,4689,1134
unsorted-source-material/Module photos/Plug in modules/Module P - Front Loader bottom.jpg,2077622,image,2012,1345
unsorted-source-material/Module photos/Plug in modules/Module P - Front Loader top.jpg,1569419,image,1995,1359
unsorted-source-material/Module photos/Plug in modules/Module R - Drive Proc bottom.jpg,6076357,image,4912,1718
unsorted-source-material/Module photos/Plug in modules/Module R - Drive Proc top.jpg,4980774,image,4853,1706
unsorted-source-material/Module photos/Plug in modules/Module S - Control bottom.jpg,5923453,image,4931,1744
unsorted-source-material/Module photos/Plug in modules/Module S - Control top.jpg,4910516,image,4834,1713
unsorted-source-material/Module photos/Plug in modules/Module T - Supply top.jpg,4268414,image,4982,1642
unsorted-source-material/Module photos/Plug in modules/Module U - Analog IO bottom.jpg,7745578,image,3999,3015
unsorted-source-material/Module photos/Plug in modules/Module U - Analog IO top.jpg,7214053,image,4057,3323
unsorted-source-material/Module photos/Plug in modules/Module W - CPU and Datagrabber bottom.jpg,8162315,image,5138,2669
unsorted-source-material/Module photos/Plug in modules/Module W - CPU and Datagrabber top.jpg,7116067,image,5092,2656
unsorted-source-material/Module photos/Plug in modules/Module X - LV-ROM Dec bottom.jpg,9468031,image,4769,3168
unsorted-source-material/Module photos/Plug in modules/Module X - LV-ROM Dec top.jpg,7619115,image,4653,3027
unsorted-source-material/Module photos/Plug in modules/Module Y - VidMix bottom.jpg,8706628,image,4810,3107
unsorted-source-material/Module photos/Plug in modules/Module Y - VidMix top.jpg,8011126,image,4636,3113
unsorted-source-material/Module photos/Plug in modules/Remote control top.jpg,3429356,image,4458,1875
unsorted-source-material/Module photos/Plug in modules/Rermote control bottom.jpg,3596491,image,4463,1858
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5845.JPG,3006991,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5846.JPG,3056195,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5847.JPG,2987774,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5848.JPG,3039698,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5849.JPG,2965365,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5850.JPG,2969356,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5851.JPG,2965399,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5852.JPG,2931720,image,3504,2336
