path,bytes,width,height,disposition,dest_dir,dest_name,profile,notes
unsorted-source-material/Disassembly guide/PNG/Untitled-1.png,224644,1024,655,publish,docs/general-service/assets/originals,untitled-1.png,schematic,demounting / exploded view
unsorted-source-material/Disassembly guide/PNG/Untitled-2.png,359890,1024,939,publish,docs/general-service/assets/originals,untitled-2.png,schematic,demounting / exploded view
unsorted-source-material/Disassembly guide/PNG/Untitled-3.png,271245,1024,616,publish,docs/general-service/assets/originals,untitled-3.png,schematic,demounting / exploded view
unsorted-source-material/Disassembly guide/PNG/Untitled-4.png,114266,1024,1003,publish,docs/general-service/assets/originals,untitled-4.png,schematic,demounting / exploded view
unsorted-source-material/Disassembly guide/PNG/Untitled-5.png,406950,1024,1258,publish,docs/general-service/assets/originals,untitled-5.png,schematic,demounting / exploded view
unsorted-source-material/Disassembly guide/PNG/vp415-colour300dpi-fixed_Page_102.png,915227,2048,1477,publish,docs/general-service/assets/originals,vp415-colour300dpi-fixed-page-102.png,schematic,cropped 2048px derivative of a manual page - the crop is editorial work worth keeping (manifest §11.2)
unsorted-source-material/Disassembly guide/PNG/vp415-colour300dpi-fixed_Page_103.png,315703,2048,2038,publish,docs/general-service/assets/originals,vp415-colour300dpi-fixed-page-103.png,schematic,cropped 2048px derivative of a manual page - the crop is editorial work worth keeping (manifest §11.2)
unsorted-source-material/Disassembly guide/PNG/vp415-colour300dpi-fixed_Page_104.png,837231,2048,1518,publish,docs/general-service/assets/originals,vp415-colour300dpi-fixed-page-104.png,schematic,cropped 2048px derivative of a manual page - the crop is editorial work worth keeping (manifest §11.2)
unsorted-source-material/Disassembly guide/PNG/vp415-colour300dpi-fixed_Page_105.png,399973,2048,1436,publish,docs/general-service/assets/originals,vp415-colour300dpi-fixed-page-105.png,schematic,cropped 2048px derivative of a manual page - the crop is editorial work worth keeping (manifest §11.2)
unsorted-source-material/Disassembly guide/PNG/vp415-colour300dpi-fixed_Page_120.png,1175814,893,1956,publish,docs/general-service/assets/originals,vp415-colour300dpi-fixed-page-120.png,schematic,cropped 2048px derivative of a manual page - the crop is editorial work worth keeping (manifest §11.2)
unsorted-source-material/Disassembly guide/Philips-VP415-Back-panel annotated.jpg,141443,1024,410,publish,docs/general-service/assets/originals,philips-vp415-back-panel-annotated.jpg,photo,demounting / exploded view
unsorted-source-material/Disassembly guide/VP415 Cabinet exploded diagram.jpg,375723,2048,1477,publish,docs/general-service/assets/originals,vp415-cabinet-exploded-diagram.jpg,photo,demounting / exploded view
unsorted-source-material/Disassembly guide/VP415 Drive assembly exploded diagram.jpg,384726,2048,1436,publish,docs/general-service/assets/originals,vp415-drive-assembly-exploded-diagram.jpg,photo,demounting / exploded view
unsorted-source-material/Disassembly guide/VP415 Front-loader exploded diagram.jpg,315741,2048,1518,publish,docs/general-service/assets/originals,vp415-front-loader-exploded-diagram.jpg,photo,demounting / exploded view
unsorted-source-material/Disassembly guide/VP415 Push out tray manually.jpg,93034,1024,655,publish,docs/general-service/assets/originals,vp415-push-out-tray-manually.jpg,photo,demounting / exploded view
unsorted-source-material/Disassembly guide/VP415 Remove IO module U.jpg,114222,1024,1003,publish,docs/general-service/assets/originals,vp415-remove-io-module-u.jpg,photo,demounting / exploded view
unsorted-source-material/Disassembly guide/VP415 Remove optical deck.jpg,127595,1024,616,publish,docs/general-service/assets/originals,vp415-remove-optical-deck.jpg,photo,demounting / exploded view
unsorted-source-material/Disassembly guide/VP415 Remove sandwich.jpg,112419,1024,1258,publish,docs/general-service/assets/originals,vp415-remove-sandwich.jpg,photo,demounting / exploded view
unsorted-source-material/Disassembly guide/VP415 Sandwich exploded diagram.jpg,275545,2048,2038,publish,docs/general-service/assets/originals,vp415-sandwich-exploded-diagram.jpg,photo,demounting / exploded view
unsorted-source-material/Disassembly guide/VP415 Upper case and front-loader.jpg,161736,1024,939,publish,docs/general-service/assets/originals,vp415-upper-case-and-front-loader.jpg,photo,demounting / exploded view
